lastname|name|patronymic|date_of_birth|id
Фамилия1|Имя1|Отчество1 |21.11.1998 |312040348-3048
Фамилия2|Имя2|Отчество2 |11.01.1972 |457865234-3431
Фамилия1|Имя1|Отчество1 |21.11.1998 |312040348-3049
Фамилия2|Имя2|Отчество2 |11.01.1972 |457865234-3430
Фамилия1|Имя1|Отчество1 |21.11.1998 |312040348-3050
Фамилия2|Имя2|Отчество2 |11.01.1972 |457865234-3429
Фамилия1|Имя1|Отчество1 |21.10.1998 |312040348-3048
Фамилия2|Имя2|Отчество2 |11.02.1972 |457865234-3431
Фамилия1|Имя1|Отчество1 |21.11.1998 |312040348-3051
Фамилия2|Имя2|Отчество2 |11.01.1972 |457865234-3428
Фамилия1|Имя1|Отчество1 |21.11.1998 |312040348-3051
Фамилия2|Имя2|Отчество2 |11.01.1972 |457865234-3428
